06/09/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDX mWEIGHT HIST,indx_mweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
END_DATE_OVERRIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.000000,,,99.999996,,,100.000000,,,100.000003,,,100.000000,,,100.000000,,,100.000001,,,100.000001,,,99.999999,,,99.999999,,,100.000000,,,100.000000,,,100.000000,,,100.000000,,,100.000000,,,100.000002,,,100.000000,,,99.999999,,,100.000000,,,100.000000,
IMC30 Index,,,RENTABLE INDEX,,,MEXAT3 INDEX,,,MEXBOL Index,,,IPCCOMP INDEX,,,IRTCOMP INDEX,,,IPCLARGE INDEX,,,IRTLARGE INDEX,,,IPCMID INDEX,,,IRTMID INDEX,,,IPCSMALL INDEX,,,IRTSMALL INDEX,,,INMEX INDEX,,,INMEXRT INDEX,,,MEXST3 INDEX,,,VDMEX INDEX,,,M1MX5IM INDEX,,,M5MXXR Index,,,M5MXXM Index,,,SPMQVGMT Index,
AEROMEX* MM,0.863465,,AC* MM,1.763007,,ALEATIC* MM,3.426669,,AC* MM,1.574187,,AC* MM,1.49114,,AC* MM,1.49114,,AC* MM,3.114799,,AC* MM,3.114799,,ALFAA MM,8.450453,,ALFAA MM,8.450453,,AGUA* MM,1.884997,,AGUA* MM,1.884997,,AC* MM,2.4412,,AC* MM,2.4412,,AC* MM,10.778105,,AC* MM,3.432841,,ALFAA MM,1.815404,,ALFAA MM,3.276457,,ALFAA MM,1.52640554,,ALFAA MM,3.551136881
ALEATIC* MM,1.4969,,ALFAA MM,3.604022,,ARA* MM,1.869857,,ALFAA MM,1.946905,,AGUA* MM,0.07727,,AGUA* MM,0.07727,,AMXL MM,13.995296,,AMXL MM,13.995296,,ALPEKA MM,1.391285,,ALPEKA MM,1.391285,,AXTELCPO MM,1.166197,,AXTELCPO MM,1.166197,,ALFAA MM,3.019199,,ALFAA MM,3.019199,,BACHOCOB MM,3.810597,,ALFAA MM,3.794552,,ALSEA* MM,0.86818,,ALSEA* MM,3.536502,,ALSEA* MM,0.853296669,,AC* MM,4.478542928
ALPEKA MM,2.565626,,AMXL MM,10.238128,,AUTLANB MM,0.497472,,ALPEKA MM,0.320539,,ALFAA MM,1.844195,,ALFAA MM,1.844195,,BIMBOA MM,4.594787,,BIMBOA MM,4.594787,,ALSEA* MM,3.723394,,ALSEA* MM,3.723394,,CHDRAUIB MM,5.123275,,CHDRAUIB MM,5.123275,,AMXL MM,10.251035,,AMXL MM,10.251035,,BIMBOA MM,11.063434,,ALPEKA MM,0.885428,,AMXL MM,15.031821,,AMXL MM,4.067954,,AMXL MM,8.385708029,,CUERVO* MM,2.561501665
ALSEA* MM,6.866196,,ASURB MM,2.429242,,CEMEXCPO MM,11.431431,,ALSEA* MM,0.857835,,ALPEKA MM,0.303629,,ALPEKA MM,0.303629,,BSMXB MM,3.270982,,BSMXB MM,3.270982,,ASURB MM,9.795599,,ASURB MM,9.795599,,CREAL* MM,4.795469,,CREAL* MM,4.795469,,ASURB MM,3.499797,,ASURB MM,3.499797,,CHDRAUIB MM,1.518002,,ALSEA* MM,4.684783,,AC* MM,1.696453,,AC* MM,6.918056,,AC* MM,1.541088102,,BOLSAA MM,5.840325316
BACHOCOB MM,4.454709,,BOLSAA MM,1.610278,,ELEMENT* MM,1.148549,,AMXL MM,12.45692,,ALSEA* MM,0.812579,,ALSEA* MM,0.812579,,CEMEXCPO MM,7.358741,,CEMEXCPO MM,7.358741,,BACHOCOB MM,2.169461,,BACHOCOB MM,2.169461,,GCC* MM,15.187828,,GCC* MM,15.187828,,BIMBOA MM,4.073793,,BIMBOA MM,4.073793,,CUERVO* MM,4.033292,,AMXL MM,4.020615,,BBAJIOO MM,0.901391,,CEMEXCPO MM,2.061873,,CEMEXCPO MM,2.69157065,,KOFUBL MM,5.00755426
BBAJIOO MM,7.199912,,BSMXB MM,5.969408,,GCC* MM,12.042763,,ASURB MM,2.256813,,AMXL MM,11.799751,,AMXL MM,11.799751,,ELEKTRA* MM,2.403957,,ELEKTRA* MM,2.403957,,BBAJIOO MM,3.904361,,BBAJIOO MM,3.904361,,HCITY* MM,4.071421,,HCITY* MM,4.071421,,BSMXB MM,2.563607,,BSMXB MM,2.563607,,FEMSAUBD MM,11.485258,,ASURB MM,3.979373,,BOLSAA MM,0.641915711,,KOFUBL MM,7.009415,,KOFUBL MM,3.227379604,,LIVEPOLC MM,4.633548523
BOLSAA MM,4.98611,,CEMEXCPO MM,9.64384,,GICSAB MM,2.475598,,BBAJIOO MM,0.899528,,ASURB MM,2.137754,,ASURB MM,2.137754,,FEMSAUBD MM,14.397325,,FEMSAUBD MM,14.397325,,BOLSAA MM,2.703863,,BOLSAA MM,2.703863,,HERDEZ* MM,7.486221,,HERDEZ* MM,7.486221,,CEMEXCPO MM,6.615112,,CEMEXCPO MM,6.615112,,GRUMAB MM,9.797146,,BBAJIOO MM,1.381121,,CEMEXCPO MM,3.881098741,,LIVEPOLC MM,3.062655982,,LIVEPOLC MM,1.341754505,,FEMSAUBD MM,3.036996488
CHDRAUIB MM,1.774593,,FEMSAUBD MM,9.970397,,GMEXICOB MM,10.471589,,BIMBOA MM,2.62695,,AXTELCPO MM,0.047805,,AXTELCPO MM,0.047805,,GCARSOA1 MM,1.143856,,GCARSOA1 MM,1.143856,,CUERVO* MM,2.556871,,CUERVO* MM,2.556871,,LABB MM,10.385855,,LABB MM,10.385855,,FEMSAUBD MM,9.982967,,FEMSAUBD MM,9.982967,,HERDEZ* MM,2.218132,,BIMBOA MM,2.302174,,KOFUBL MM,1.242595019,,FEMSAUBD MM,6.873484188,,FEMSAUBD MM,16.58194832,,GENTERA* MM,5.972737875
ELEMENT* MM,0.50173,,GAPB MM,4.499783,,GMXT* MM,9.910343,,BOLSAA MM,0.622944,,BACHOCOB MM,0.527192,,BACHOCOB MM,0.527192,,GFINBURO MM,3.398959,,GFINBURO MM,3.398959,,GAPB MM,11.283461,,GAPB MM,11.283461,,LACOMUBC MM,9.891796,,LACOMUBC MM,9.891796,,GAPB MM,4.031384,,GAPB MM,4.031384,,KIMBERA MM,13.21033,,BSMXB MM,3.657416,,DANHOS13 MM,0.343474214,,GRUMAB MM,6.180918672,,GRUMAB MM,1.195778655,,GRUMAB MM,3.392949998
GCC* MM,5.26074,,GENTERA* MM,1.64751,,HOMEX* MM,0.070237,,BSMXB MM,1.65312,,BBAJIOO MM,0.852073,,BBAJIOO MM,0.852073,,GFNORTEO MM,13.237623,,GFNORTEO MM,13.237623,,GENTERA* MM,2.700028,,GENTERA* MM,2.700028,,Q* MM,10.869281,,Q* MM,10.869281,,GFNORTEO MM,10.687616,,GFNORTEO MM,10.687616,,KOFUBL MM,11.543674,,CEMEXCPO MM,4.351448,,FIHO12 MM,0.360527456,,GAPB MM,3.035656352,,GAPB MM,3.952960302,,ASURB MM,4.591501162
GENTERA* MM,4.979039,,GFNORTEO MM,10.674159,,ICHB MM,7.070326,,CEMEXCPO MM,4.265698,,BIMBOA MM,2.488364,,BIMBOA MM,2.488364,,GMEXICOB MM,6.828422,,GMEXICOB MM,6.828422,,GMXT* MM,1.62144,,GMXT* MM,1.62144,,UNIFINA MM,3.392511,,UNIFINA MM,3.392511,,GMEXICOB MM,8.84523,,GMEXICOB MM,8.84523,,LACOMUBC MM,2.930893,,CUERVO* MM,1.063165,,FHIPO MM,0.327443605,,ASURB MM,3.76239142,,ASURB MM,1.492576929,,OMAB MM,5.850883732
