aeropuerto,oac,iata,tipo,denominacion,coordenadas,latitud,longitud,elev,uom_elev,ref,distancia_ref,direccion_ref,condicion,control,region,uso,trafico,sna,concesionado,provincia
DOZ,SAME,MDZ,Aerodromo,MENDOZA/EL PLUMERILLO,"""32°49'54""""S  68°47'34""""W""",-68.79277778,-32.83166667,704,Metros,Mendoza,8,NE,PUBLICO,CONTROL,RANO,,Internacional,SI,SI,MENDOZA
ECX,,,Aerodromo,EDUARDO CASTEX,"""35°52'56""""S  64°16'30""""W""",-64.275,-35.88222222,183,Metros,Eduardo Castex,4.5,NE,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,LA PAMPA
HDT,,,Helipuerto,DON TORCUATO/TIMEN S.A.,"""34°29'46""""S  58°36'29""""W""",-58.608031,-34.496085,6,Metros,Ex Aerodromo Don Torcuato,0,Lindando,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
HIL,,,Helipuerto,GRAL. VILLEGAS/SAN ISIDRO LABRADOR II,"""35° 4'54""""S  63° 4'48""""W""",-63.079953,-35.081749,115,Metros,General Villegas,8,SE,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
MLG,SAMM,LGS,Aerodromo,MALARGÜE/COMODORO D. RICARDO SALOMON,"""35°29'43""""S  69°34'23""""W""",-69.57305556,-35.49527778,1424,Metros,Malargüe,1,S,PUBLICO,CONTROL,RANO,,Nacional,SI,SI,MENDOZA
TEC,,,Aerodromo,ESTANCIA TECKA,"""43°36'44""""S  71° 1'19""""W""",-71.02194444,-43.61222222,720,Metros,Estancia Tecka,2.8,O,PRIVADO,NOCONTROL,RASU,CIVIL,Nacional,NO,NO,CHUBUT
CED,,,Aerodromo,MERCEDES,"""33°38'32""""S  65°25'14""""W""",-65.42051,-33.6422,515,Metros,Villa Mercedes,3,NE,PUBLICO,NOCONTROL,RANO,,Nacional,NO,NO,SAN LUIS
ESN,,,Aerodromo,ESQUINA,"""30° 2'51""""S  59°32' 7""""W""",-59.53521,-30.04762,39,Metros,Esquina,4,S,PUBLICO,NOCONTROL,RANE,CIVIL,Nacional,NO,NO,CORRIENTES
HDA,,,Helipuerto,BUENOS AIRES/DARSENA SUR,"""34°37'40""""S  58°21' 6""""W""",-58.351532,-34.627862,5,Metros,Isla Demarchi,0,O,PUBLICO,NOCONTROL,RACE,MIL,Nacional,NO,NO,CIUDAD AUTONOMA DE BUENOS AIRES
HAI,,,Helipuerto,VILLA CARLOS PAZ/NORBERTO CORDEIRO,"""31°24'51""""S  64°29'49""""W""",-64.497037,-31.41415,621,Metros,Margen E Rio San Antonio y Rio Uruguay,0,Lindando,PRIVADO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO,CORDOBA
TIN,SANI,,Aerodromo,TINOGASTA,"""28° 2'27""""S  67°34'39""""W""",-67.57759,-28.04089,1210,Metros,Tinogasta,1,NO,PRIVADO,NOCONTROL,RANO,,Nacional,NO,NO,CATAMARCA
MOI,,,Aerodromo,CORRALITO/DON MOISES,"""32° 2' 8""""S  64°11'28""""W""",-64.19111111,-32.03555556,489,Metros,Corralito,1.5,S,PRIVADO,NOCONTROL,RANO,AEROAPP,Nacional,NO,NO,CORDOBA
VDR,,,Aerodromo,VILLA DEL ROSARIO,"""31°34'50""""S  63°32'20""""W""",-63.53888889,-31.58055556,253,Metros,Villa del Rosario,1.5,S,PUBLICO,NOCONTROL,RANO,,Nacional,NO,NO,CORDOBA
DOL,SAZD,,Aerodromo,DOLORES,"""36°19'12""""S  57°43'14""""W""",-57.72055556,-36.32,10,Metros,Dolores,4,O,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
HDL,,,Helipuerto,JUNIN DE LOS ANDES/CASA DE LATA,"""39°48'56""""S  71°10'12""""W""",-71.16995,-39.815579,982,Metros,Junin de los Andes,12,N,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,NEUQUEN
HHM,,,Helipuerto,SALTA/HOSPITAL DE MILAGRO,"""24°46'23""""S  65°24'56""""W""",-65.415621,-24.772921,1240,Metros,Salta,3,N,PRIVADO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO,SALTA
JMB,,,Aerodromo,TRES LOMAS,"""36°26'35""""S  62°52'45""""W""",-62.87927,-36.44296,116,Metros,Tres Lomas,2,NO,PRIVADO,NOCONTROL,RACE,,Nacional,NO,NO,BUENOS AIRES
LMF,,,Aerodromo,LOS MOLINOS/ESTABLECIMIENTO LA FLORENCIA,"""33° 4'45""""S  61°18'59""""W""",-61.31628,-33.07912,75,Metros,Los Molinos,3,NNE,PRIVADO,NOCONTROL,RACE,AEROAPP,Nacional,NO,NO,SANTA FE
SUZ,SAZC,CSZ,Aerodromo,CORONEL SUAREZ/BRIG. D. H. E.  RUIZ,"""37°26'46""""S  61°53'22""""W""",-61.88934,-37.44609,234,Metros,Coronel Suarez,3,ENE,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
HLU,,,Helipuerto,LUJAN/TRANSENER S.A.,"""32°22' 0""""S  66° 3'59""""W""",-66.066423,-32.366669,600,Metros,Lujan,9,O,PRIVADO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO,SAN LUIS
SMS,,,Aerodromo,SAN MARCOS/CHIALVA S.H.,"""32°44'12""""S  62°31'52""""W""",-62.53111111,-32.73666667,115,Metros,Bell Ville,19,SE,PRIVADO,NOCONTROL,RANO,AEROAPP,Nacional,NO,NO,CORDOBA
SRE,,,Aerodromo,SANTA REGINA/FORTIN DE GAINZA,"""34°32'48""""S  63° 7'28""""W""",-63.12451,-34.54661,130,Metros,Santa Regina,3,E,PRIVADO,NOCONTROL,RACE,,Nacional,NO,NO,BUENOS AIRES
CTP,,,Aerodromo,CATRILO/ESTABLECIMIENTO LA MARIA PILAR,"""36°29'19""""S  63°25'59""""W""",-63.43305556,-36.48861111,125,Metros,Catrilo,9,S,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,LA PAMPA
GOM,,,Aerodromo,CAÑADA DE GOMEZ,"""32°48'32""""S  61°21'57""""W""",-61.36579,-32.80887,82,Metros,Cañada de Gomez,1.5,E,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,SANTA FE
JCM,,,Aerodromo,JUAREZ CELMAN/BRIG. MY. JUAN IGNACIO SAN MARTIN,"""31°12'40""""S  64° 9'38""""W""",-64.16064,-31.21113,495,Metros,Juarez Celman,20,N,PUBLICO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO,CORDOBA
VRU,,,Aerodromo,VILLA RUMIPAL/PRIMER TENIENTE MARIO NIVOLI,"""32°11' 3""""S  64°29'20""""W""",-64.48888889,-32.18416667,666,Metros,Villa Rumipal,0,ENE,PUBLICO,NOCONTROL,RANO,,Nacional,NO,NO,CORDOBA
ARB,,,Aerodromo,ARRIBEÑOS,"""34°13'19""""S  61°23'12""""W""",-61.38666667,-34.22194444,82,Metros,Arribeños,3.3,SO,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
HMM,,,Helipuerto,DR. MARIANO MORENO,"""34°33'46""""S  58°47'26""""W""",-58.790569,-34.562908,32,Metros,Jose C. Paz,7,S,PRIVADO,NOCONTROL,RACE,MIL,Nacional,NO,NO,BUENOS AIRES
MGI,,,Aerodromo,ISLA MARTIN GARCIA,"""34°10'56""""S  58°14'49""""W""",-58.24694444,-34.18222222,2,Metros,Isla Martin Garcia,0,Lindando,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
RJA,,,Aerodromo,ROJAS,"""34°12'55""""S  60°40'24""""W""",-60.67325,-34.21534,6,Metros,Rojas,6,SE,PUBLICO,NOCONTROL,RACE,,Nacional,NO,NO,BUENOS AIRES
SCL,,,Aerodromo,SANTA CLARA DE SAGUIER,"""31°21'20""""S  61°49'47""""W""",-61.82983,-31.35548,105,Metros,Santa Clara de Saguier,2.5,SSO,PRIVADO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO,SANTA FE
RLA,SAFR,,Aerodromo,RAFAELA,"""31°16'57""""S  61°30' 6""""W""",-61.50166667,-31.2825,99,Metros,Rafaela,3.5,S,PUBLICO,NOCONTROL,RANO,,Nacional,NO,NO,SANTA FE
VEZ,,,Aerodromo,GALVEZ,"""32° 2' 7""""S  61°10'40""""W""",-61.17777778,-32.03527778,41,Metros,Galvez,4,E,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,SANTA FE
GRA,SAWE,RGA,Aerodromo,RIO GRANDE,"""53°46'39""""S  67°44'58""""W""",-67.74952,-53.7776,20,Metros,Rio Grande,9,NO,PUBLICO,CONTROL,RASU,,Internacional,SI,SI,TIERRA DEL FUEGO ANTARTIDA E ISLAS DEL ATLANTICO SUR
HEA,,,Helipuerto,HELIPLATAFORMA AM6,"""52°36'30""""S  68° 7'40""""W""",-68.127778,-52.608333,32,Metros,Cabo Virgenes,34,SE,PRIVADO,NOCONTROL,RASU,CIVIL,Nacional,NO,NO,TIERRA DEL FUEGO ANTARTIDA E ISLAS DEL ATLANTICO SUR
NEU,SAZN,NQN,Aerodromo,NEUQUEN/PRESIDENTE PERON,"""38°56'56""""S  68° 9'21""""W""",-68.15583333,-38.94888889,273,Metros,Neuquen,8,ONO,PUBLICO,CONTROL,RACE,,Internacional,SI,SI,NEUQUEN
SER,,,Aerodromo,SERODINO/FUMIGACIONES STANDLER,"""32°34'47""""S  60°54'34""""W""",-60.90944,-32.57978,37,Metros,Serodino,5,NE,PRIVADO,NOCONTROL,RACE,AEROAPP,Nacional,NO,NO,SANTA FE
CHM,SAHC,HOS,Aerodromo,CHOS MALAL,"""37°26'39""""S  70°13'23""""W""",-70.22305556,-37.44416667,850,Metros,Chos Malal,10,S,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,NEUQUEN
DAR,,,Aerodromo,DARREGUEIRA,"""37°42'44""""S  63° 9'45""""W""",-63.16253,-37.7122,198,Metros,Darregueira,1.5,SSO,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
HEV,,,Helipuerto,ALMIRANTE BROWN/DESTACAMENTO POLICIAL EL VAPOR,"""34°50' 5""""S  58°23' 6""""W""",-58.384984,-34.834672,28,Metros,Destacamento Policial El Vapor,0,Lindando,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
MEZ,,,Aerodromo,CORDOBA/LA MEZQUITA,"""31°24' 4""""S  64°18' 1""""W""",-64.3003,-31.40103,510,Metros,La Mezquita,6,O,PRIVADO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO,CORDOBA
PLS,,,Aerodromo,PIRANE/EA. LA SALVACION,"""25°16'52""""S  58°56'16""""W""",-58.93781,-25.281,98,Metros,Pirane,52,NNE,PRIVADO,NOCONTROL,RANE,,Nacional,NO,NO,FORMOSA
